artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Dead Prez,hip hop,track,Hip-Hop,2000,2HoDr1yVksl19omOhc1zWy,"Dead Prez are an underground hip-hop duo which formed in 1996 in New York City, New York, United States, consisting of rapper stic.man and M-1. They have released three albums, ""Let's Get Free"" (2000), ""Revolutionary But Gangsta"" (2004), and ""Information Age"" (2012). The duo has also released several mixtapes. They are known for their sometimes confrontational style, combined with socialist lyrics focused on both militant social justice, and also positivity. <a href=""https://www.last.fm/music/dead+prez"">Read more on Last.fm</a>",534790,6789083,The Coup,Immortal Technique,Talib Kweli
Static-X,hip hop,track,Hip Hop,2000,1UCVgSDDlH4vJ0jI4txWXP,"Static-X was formed in 1994 from the ashes of Wayne Static and Ken Jay's former band, Deep Blue Dream. After searching for members in Chicago,United States, Static and Jay decided to go to Los Angeles to continue their search. There they met Tony Campos from the Mexican death metal band Asesino, and Koichi Fukuda, completing the band's original line-up. Static-X signed with Warner Brothers Records in early 1998. The band's debut album, Wisconsin Death Trip, was released March 23, 1999. <a href=""https://www.last.fm/music/Static-X"">Read more on Last.fm</a>",1451232,40143691,Wayne Static,Coal Chamber,Dope
Souchi,hip hop,track,Hip Hop Positivo,2000,7qROIHEEoCyTLIhLqMjO8g," <a href=""https://www.last.fm/music/Souchi"">Read more on Last.fm</a>",2228,22150,Morodo 1,Ganja Party,Souchi Con Morodo
"Up, Bustle & Out",hip hop,track,Hip Hop Barrio,2000,1uyHExTPoLFbnHChrljvrz,"Name variation for Up, Bustle and Out <a href=""https://www.last.fm/music/+noredirect/Up,+Bustle+&+Out"">Read more on Last.fm</a>",28280,192692,DJ Food,London Funk Allstars,9 Lazy 9
Selektah Kolektiboa,hip hop,track,Hip Hoparen Erresumak Defendatuz,2000,7DhmUqO3WwO4bDfa5rX1Qd,"Selektah Kolektiboa is a music group and, at the same time, an open-ended project aimed at making black music, with its myriad of faces and styles. Apart from organisation of fiestas and working as a sound system, it is the pioneering group for hip-hop in Basque. <a href=""https://www.last.fm/music/Selektah+Kolektiboa"">Read more on Last.fm</a>",1351,14072,Lin Ton Taun,EH Sukarra,Kashbad
Lords Of The Underground,hip hop,track,What I'm After,2000,1wJTSKPtXvoyJrLWFZ8xRg,"The Lords of the Underground (L.O.T.U.G.) is a hip-hop trio based in Newark, New Jersey. MCs Mr. Funke and DoItAll Dupré met DJ Lord Jazz (a native of Cleveland) when all three were undergraduates at Shaw University[citation needed]. Fellow New Jersey rapper Redman served as one of the group's early DJ's. The group released their debut album, Here Come the Lords on March 9, 1993 with production handled by Marley Marl and K-Def. The album peaked at 66 on the Billboard 200 and featured five charting singles <a href=""https://www.last.fm/music/Lords+of+the+Underground"">Read more on Last.fm</a>",244810,2198631,Das EFX,Blahzay Blahzay,Jeru the Damaja
Dead Prez,hip hop,track,Hip-Hop - Radio Version,2000,1VpaGT3qRCT4jaqYw7o9IH,"Dead Prez are an underground hip-hop duo which formed in 1996 in New York City, New York, United States, consisting of rapper stic.man and M-1. They have released three albums, ""Let's Get Free"" (2000), ""Revolutionary But Gangsta"" (2004), and ""Information Age"" (2012). The duo has also released several mixtapes. They are known for their sometimes confrontational style, combined with socialist lyrics focused on both militant social justice, and also positivity. <a href=""https://www.last.fm/music/dead+prez"">Read more on Last.fm</a>",534790,6789083,The Coup,Immortal Technique,Talib Kweli
Busta Flex,hip hop,track,Hip Hop Forever,2000,60EHo6nbUDjSFcG6dWaoDs,"Busta Flex is a French rapper. His influence is of many other French rappers. He has released 3 albums ""Busta Flex"", ""Sexe, Violence, Rap et Flouze"" and ""La Pièce Maîtresse"". He was born in Épinay-sur-Seine, Paris Region. His 1 st album ""Busta Flex"" was recorded in 1998. <a href=""https://www.last.fm/music/Busta+Flex"">Read more on Last.fm</a>",21093,191836,Zoxea,Passi,Ärsenik
Dead Prez,hip hop,track,Hip-Hop - Instrumental,2000,6qA5gzBRyEfYvDgbmBdHH4,"Dead Prez are an underground hip-hop duo which formed in 1996 in New York City, New York, United States, consisting of rapper stic.man and M-1. They have released three albums, ""Let's Get Free"" (2000), ""Revolutionary But Gangsta"" (2004), and ""Information Age"" (2012). The duo has also released several mixtapes. They are known for their sometimes confrontational style, combined with socialist lyrics focused on both militant social justice, and also positivity. <a href=""https://www.last.fm/music/dead+prez"">Read more on Last.fm</a>",534790,6789083,The Coup,Immortal Technique,Talib Kweli
Selektah Kolektiboa,hip hop,track,Hip Hop Cabron,2000,7jW6dFmKXHnt0S04KiiBne,"Selektah Kolektiboa is a music group and, at the same time, an open-ended project aimed at making black music, with its myriad of faces and styles. Apart from organisation of fiestas and working as a sound system, it is the pioneering group for hip-hop in Basque. <a href=""https://www.last.fm/music/Selektah+Kolektiboa"">Read more on Last.fm</a>",1351,14072,Lin Ton Taun,EH Sukarra,Kashbad
