artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
The Swingle Singers,orchestra,track,"Orchestral Suite No. 3 In D Minor, BWV 1068: Aria",2000,2XIjIUi0XvOrZkb859OYxN,"The Swingle Singers, currently based in London, are an international a cappella phenomenon whose history dates back to 1962. For over seven decades, the unmistakable sound of ""Swingle singing"" has defined the art form: virtuosic vocal agility and blend demonstrated by their signature close-microphone technique, combined with high-level entertainment that has thrilled audiences around the globe. The latest lineup of young and talented voices represents <a href=""https://www.last.fm/music/The+Swingle+Singers"">Read more on Last.fm</a>",95650,890501,Jacques Loussier,The Real Group,The King's Singers
Hans Zimmer,orchestra,track,Now We Are Free,2000,1elGwF4VwkwglV4nCBPJtv,"Hans Florian Zimmer (born 12 September 1957) is a German film score composer and record producer. Since the 1980s, he has composed music for over 150 films. His works include The Lion King, for which he won the Academy Award for Best Original Score in 1995, the Pirates of the Caribbean series, The Thin Red Line, Gladiator, The Last Samurai, and The Dark Knight Trilogy. Zimmer spent the early part of his career in the United Kingdom before moving to the United States. <a href=""https://www.last.fm/music/Hans+Zimmer"">Read more on Last.fm</a>",2426895,126090296,Hans Zimmer & James Newton Howard,Ludwig Göransson,James Horner
Tracy Chapman,orchestra,track,Baby Can I Hold You - Live,2000,7y17NbMm9FBTvHUzxEzxsv,"Tracy Chapman (born March 30, 1964 in Cleveland, OH) is an American singer best known for the singles ""Fast Car"", ""Talkin' Bout a Revolution"", ""Baby Can I Hold You"", and ""Give Me One Reason."" She is a multi-platinum and multi-Grammy award-winning artist. Born in Cleveland, Ohio,U.S., Tracy Chapman began playing guitar and writing songs as a child. She received a scholarship through A Better Chance that allowed her to attend Wooster School in Connecticut, and was eventually accepted to Tufts University in Medford, Massachusetts. <a href=""https://www.last.fm/music/Tracy+Chapman"">Read more on Last.fm</a>",1877210,30662591,Natalie Merchant,Eva Cassidy,Indigo Girls
Klaus Badelt,orchestra,track,"Elysium - From ""Gladiator"" Soundtrack",2000,7snyEEkuqPgQoJApi3iQ50,"Klaus Badelt (born 12 June 1967 in Frankfurt, West Germany) is a German film composer, known for his collaborations with Hans Zimmer, helping to write scores for dozens of critically acclaimed films including The Thin Red Line, The Prince of Egypt, Gladiator, and Pirates of the Caribbean: The Curse of the Black Pearl. Independently, he is known for his work on Hollywood blockbuster films such as Equilibrium, K-19: The Widowmaker, Basic, and TMNT, and for his work in French cinema. <a href=""https://www.last.fm/music/Klaus+Badelt"">Read more on Last.fm</a>",767256,12407680,Geoff Zanelli,Steve Jablonsky,James Horner
Wolfgang Amadeus Mozart,orchestra,track,"Symphony No. 25 in G Minor, K. 183: I. Allegro con brio",2000,64ta7ZvTJeThz7Ns4LmAHS,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791) was a prolific and influential composer of the Classical period. For many, Mozart is the greatest of all composers. The playful, mercurial genius, who died at 35, left over 600 works (including 41 symphonies, 27 piano concertos, 22 operas, numerous Mass settings, chamber music, piano sonatas, and songs), which reveal one of the most prodigious talents ever known in music. Classical in style <a href=""https://www.last.fm/music/Wolfgang+Amadeus+Mozart"">Read more on Last.fm</a>",2417021,69063685,Ludwig van Beethoven,Johann Sebastian Bach,Franz Schubert
Hans Zimmer,orchestra,track,"Now We Are Free - From ""Gladiator"" Soundtrack",2000,1raWfcURBd1Q3W3K0ojDCM,"Hans Florian Zimmer (born 12 September 1957) is a German film score composer and record producer. Since the 1980s, he has composed music for over 150 films. His works include The Lion King, for which he won the Academy Award for Best Original Score in 1995, the Pirates of the Caribbean series, The Thin Red Line, Gladiator, The Last Samurai, and The Dark Knight Trilogy. Zimmer spent the early part of his career in the United Kingdom before moving to the United States. <a href=""https://www.last.fm/music/Hans+Zimmer"">Read more on Last.fm</a>",2426895,126090296,Hans Zimmer & James Newton Howard,Ludwig Göransson,James Horner
Ludwig van Beethoven,orchestra,track,"Beethoven: Symphony No. 6 in F Major, Op. 68 ""Pastoral"": I. Erwachen heiterer Empfindungen bei der Ankunft auf dem Lande. Allegro ma non troppo",2000,5UbN3fe9OB1p5KwjgUAHD4,"Ludwig van Beethoven (baptised 17 December 1770 – 26 March 1827) was a German composer and pianist. He is regarded as one of the central figures in the history of Western music. His compositions, which are among the most frequently performed in the classical repertoire, mark a transition from the Classical period to the Romantic era. His career is often divided into three periods: the early period, ending around 1802, in which he developed his compositional style; the middle period <a href=""https://www.last.fm/music/Ludwig+van+Beethoven"">Read more on Last.fm</a>",2744051,57380632,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Johannes Brahms
Klaus Badelt,orchestra,track,Elysium,2000,20rmtxljOGVz4T3nSrtAV1,"Klaus Badelt (born 12 June 1967 in Frankfurt, West Germany) is a German film composer, known for his collaborations with Hans Zimmer, helping to write scores for dozens of critically acclaimed films including The Thin Red Line, The Prince of Egypt, Gladiator, and Pirates of the Caribbean: The Curse of the Black Pearl. Independently, he is known for his work on Hollywood blockbuster films such as Equilibrium, K-19: The Widowmaker, Basic, and TMNT, and for his work in French cinema. <a href=""https://www.last.fm/music/Klaus+Badelt"">Read more on Last.fm</a>",767256,12407680,Geoff Zanelli,Steve Jablonsky,James Horner
Wolfgang Amadeus Mozart,orchestra,track,"Mozart: Zaide, K. 344, Act 1: Arie. ""Ruhe sanft, mein holdes Leben"" (Zaide)",2000,3w14gk0C0Vn5elVzbDjrMI,"Wolfgang Amadeus Mozart (27 January 1756 – 5 December 1791) was a prolific and influential composer of the Classical period. For many, Mozart is the greatest of all composers. The playful, mercurial genius, who died at 35, left over 600 works (including 41 symphonies, 27 piano concertos, 22 operas, numerous Mass settings, chamber music, piano sonatas, and songs), which reveal one of the most prodigious talents ever known in music. Classical in style <a href=""https://www.last.fm/music/Wolfgang+Amadeus+Mozart"">Read more on Last.fm</a>",2417021,69063685,Ludwig van Beethoven,Johann Sebastian Bach,Franz Schubert
Giacomo Puccini,orchestra,track,Turandot / Act 3: Nessun dorma! - Live,2000,0lUGrc1XZ6TJ6jWxk103zL,"Giacomo Antonio Domenico Michele Secondo Maria Puccini (December 22, 1858 – November 29, 1924) is regarded as one of the great operatic composers of the late 19th and early 20th century. Although he wrote only twelve operas, Puccini's works dominate the operatic stage, particularly in the United States, where, according to Opera America, Madama Butterfly and La Bohème are the two most frequently performed operas respectively, with Tosca being eighth and Turandot being twelfth on the same list. <a href=""https://www.last.fm/music/Giacomo+Puccini"">Read more on Last.fm</a>",642499,6830785,Giuseppe Verdi,Gaetano Donizetti,Vincenzo Bellini
Johann Sebastian Bach,orchestra,track,"Orchestral Suite No. 2 In B Minor, BWV 1067: VII. Badinerie",2000,5ZSPtKKCO4FJmrwlW8zCFN,"Johann Sebastian Bach (31 March 1685 – 28 July 1750) was a German composer and musician of the late Baroque period. He composed a wide range of music across various instruments and forms, including orchestral works such as the Brandenburg Concertos; solo instrumental pieces like the cello suites and the sonatas and partitas for solo violin; keyboard compositions including the Goldberg Variations and The Well-Tempered Clavier; organ works such as <a href=""https://www.last.fm/music/Johann+Sebastian+Bach"">Read more on Last.fm</a>",2409686,93303532,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Georg Friedrich Händel
Enrique Iglesias,orchestra,track,Cielito lindo,2000,7bkEKiH9b1zNWBHnpWMXe3,"Enrique Miguel Iglesias Preysler (born 8 May 1975) is a Spanish singer and songwriter. He started his recording career in the mid-1990s on the Mexican label Fonovisa and became the bestselling Spanish-language act of the decade. By the turn of the millennium, he made a successful crossover into the mainstream English-language market. He signed a multi-album deal with Universal Music Group for US$68 million with Universal Music Latino to release his Spanish albums and Interscope Records to release English albums. <a href=""https://www.last.fm/music/Enrique+Iglesias"">Read more on Last.fm</a>",2411508,43935043,Ricky Martin,Luis Fonsi,Alejandro Sanz
