artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Chano Lobato,tango,track,Tango (De carnaval),2000,4cEIOtSaJoY1FYbZ51ZwBT," <a href=""https://www.last.fm/music/Chano+Lobato"">Read more on Last.fm</a>",11114,41833,Antonio Mairena,Marina Heredia,El Lebrijano
Franz Schubert,tango,track,Tango Serenata (Ständchen),2000,1t91qQaPbOoo4pumaLih4W,"Franz Peter Schubert (31 January 1797 – 19 November 1828) was an Austrian composer of the late Classical and early Romantic eras. Despite his short life, Schubert left behind a vast oeuvre, including more than 600 secular vocal works (mainly lieder), seven complete symphonies, sacred music, operas, incidental music, and a large body of piano and chamber music. His major works include the art songs Erlkönig, Gretchen am Spinnrade, Ave Maria; the Trout Quintet, the unfinished Symphony No. <a href=""https://www.last.fm/music/Franz+Schubert"">Read more on Last.fm</a>",1402472,17131975,Robert Schumann,Ludwig van Beethoven,Johannes Brahms
Gotan Project,tango,track,Last tango in Paris,2000,21t8hRnA30ENadkEAHjYWs,"Gotan Project is an electrotango group based in Paris, consisting of Frenchman Philippe Cohen Solal, Eduardo Makaroff from Argentina, and Christoph H. Müller, from Switzerland and a former member of Touch El Arab. They formed in 1999. Their first release was Vuelvo Al Sur/El Capitalismo Foráneo in 2000, followed by the album La Revancha del Tango in 2001. Their music is clearly tango, but also uses electronic elements such as samples, beats and breaks. <a href=""https://www.last.fm/music/Gotan+Project"">Read more on Last.fm</a>",750790,15921317,Bajofondo,Otros Aires,Federico Aubele
Tomaso Albinoni,tango,track,Tango Adagio,2000,3dVVMsZCVGxce42Nd9a0XC,"Tomaso Giovanni Albinoni (1671–1751) was a Venetian Baroque composer. While famous in his day as an opera composer, he is mainly remembered today for his instrumental music, some of which is regularly recorded. His “Adagio in G minor”, actually a later reconstruction, is one of the most frequently recorded pieces of Baroque music. Born to Antonio Albinoni (1634–1709), a wealthy paper merchant and nobleman in Venice, he studied violin and singing. <a href=""https://www.last.fm/music/+noredirect/Tomaso+Albinoni"">Read more on Last.fm</a>",145009,864126,Arcangelo Corelli,Georg Philipp Telemann,Georg Friedrich Händel
Niña Pastori,tango,track,Tangos de la Tía Juana,2000,1Db2TgZ8820Lc4bfSpZv9h,"Niña Pastori is a Spanish flamenco singer (cantaora). She was born María Rosa García García in San Fernando (Cádiz) on 15 January 1978. The youngest of five siblings and only daughter of a military man (José) and gypsy flamenco singer La Pastori, she started her artistic career at a very young age. By the time she was six, she was accompanying her mother to the flamenco tablaos of her neighborhood, ""el Boquete"". A year later she won a contest in San Fernando <a href=""https://www.last.fm/music/+noredirect/Ni%C3%B1a+Pastori"">Read more on Last.fm</a>",130892,1024873,El Barrio,Ketama,Rosario
Juana Amaya,tango,track,Tangos con Guitarra = 144,2000,7bHTT2cLbqRahTzjIuQdOd," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
El Luis,tango,track,Tangos Árabes,2000,6fmrnaJd2NGpfBqNj5SxrG," <a href=""https://www.last.fm/music/El+Luis"">Read more on Last.fm</a>",692,3653,Los Amaya,Los Calis (F),Parrita
Juana Amaya,tango,track,Tangos Solo Compás = 120,2000,5ZTy9KynO3xK316i7ZRJXQ," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
El Luis,tango,track,Tangos Del Argentino,2000,381LwmkqwTfLSw0qZYyEPF," <a href=""https://www.last.fm/music/El+Luis"">Read more on Last.fm</a>",692,3653,Los Amaya,Los Calis (F),Parrita
Niña Pastori,tango,track,Tangos de la Tía Juana,2000,2f498CgDHl0GM3EH889GIv,"Niña Pastori is a Spanish flamenco singer (cantaora). She was born María Rosa García García in San Fernando (Cádiz) on 15 January 1978. The youngest of five siblings and only daughter of a military man (José) and gypsy flamenco singer La Pastori, she started her artistic career at a very young age. By the time she was six, she was accompanying her mother to the flamenco tablaos of her neighborhood, ""el Boquete"". A year later she won a contest in San Fernando <a href=""https://www.last.fm/music/+noredirect/Ni%C3%B1a+Pastori"">Read more on Last.fm</a>",130892,1024873,El Barrio,Ketama,Rosario
