,artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
0,Remedios Amaya,flamenco,track,El zarandeo,2000,7AlYBA5M9FVXDqN31cbExE,"Remedios Amaya (born María Dolores Amaya Vega) (born 1962 in Seville) is a flamenco singer. She was one of Camarón's favourite cantaoras (female flamenco singers), and they worked together on several occasions. She is one of the best contemporary cantaoras of festive styles. It is the happy palos (forms) which allow her to express all of her talent: bulerías, tangos, alegrías... but she is also comfortable executing other palos, like the soleá and seguiriya. <a href=""https://www.last.fm/music/Remedios+Amaya"">Read more on Last.fm</a>",26222.0,107806.0,Carmen Linares,José Mercé,Duquende
1,Nobuo Uematsu,flamenco,track,Vamo'alla flamenco,2000,4uqcES2h19TKAXQlciycrO,"Nobuo Uematsu (Born March 21, 1959) is best known for his composition for the Squaresoft (now Square Enix) games company throughout the 1980s and 1990s, most notably on the Final Fantasy series of games. Composing all his work on the keyboards, he has been hailed as one of the most popular and beloved composers of video game soundtracks. Uematsu enjoyed commercial success with the track “Eyes on Me” from Final Fantasy VIII, performed by Hong Kong singer Faye Wong (Wang Fei - 王菲). <a href=""https://www.last.fm/music/+noredirect/Nobuo+Uematsu"">Read more on Last.fm</a>",254244.0,16903106.0,浜渦正志,Mitsuto Suzuki,崎元仁
2,Maurice Ravel,flamenco,track,Flamenco Bolero,2000,0z6xGK2u3nSsbk9XeKYwZQ,"Joseph Maurice Ravel (7 March 1875 – 28 December 1937) was a French composer, pianist, and conductor. He is often linked with Impressionism alongside his contemporary Claude Debussy, although both composers rejected the label. During the 1920s and 1930s, Ravel was widely regarded as France's leading living composer. Born into a music-loving family, Ravel studied at the Paris Conservatoire, where he faced opposition from the conservative establishment, resulting in controversy over his treatment. <a href=""https://www.last.fm/music/Maurice+Ravel"">Read more on Last.fm</a>",1149180.0,12361697.0,Claude Debussy,Gustav Mahler,Robert Schumann
3,Mark Towns,flamenco,track,After the Rain,2000,6DjfWx0fXi0uQpedpvaCD9,"Mark Towns is a virtuoso guitarist and prolific composer best known for creating guitar-based instrumental Afro-Caribbean Jazz, producing a sound which blurs the lines between Latin Jazz, Flamenco Jazz, Salsa, Smooth Jazz, and Fusion. His music has the rare quality of being both esoterically niche oriented, yet universally accessible. Mark's music frequently conjures up magical and other-worldly elements, becoming a conduit to universal consciousness and an enlightening link to the beyond. <a href=""https://www.last.fm/music/Mark+Towns"">Read more on Last.fm</a>",3108.0,13786.0,Mario Bauzá,Nestor Torres,Tito Rodriguez & His Orchestra
4,Franz Schubert,flamenco,track,Tango Serenata (Ständchen),2000,1t91qQaPbOoo4pumaLih4W,"Franz Peter Schubert (31 January 1797 – 19 November 1828) was an Austrian composer of the late Classical and early Romantic eras. Despite his short life, Schubert left behind a vast oeuvre, including more than 600 secular vocal works (mainly lieder), seven complete symphonies, sacred music, operas, incidental music, and a large body of piano and chamber music. His major works include the art songs Erlkönig, Gretchen am Spinnrade, Ave Maria; the Trout Quintet, the unfinished Symphony No. <a href=""https://www.last.fm/music/Franz+Schubert"">Read more on Last.fm</a>",1402273.0,17127920.0,Robert Schumann,Ludwig van Beethoven,Johannes Brahms
5,Georges Moustaki,flamenco,track,Flamenco,2000,02jM23k8pgm9gcZpyIn8Wk,"Georges Moustaki (1934-2013) was a singer-songwriter of Greek Jewish origin. Moustaki was born Yussef Mustacchi on the 3rd May 1934 in Alexandria, Egypt, of Sephardic Jewish parents who had moved there from Corfu, and who ran a bookshop in the city. The family spoke Italian at home, but Georges (then Yussef) spoke Arabic with his friends and attended a French school to which his Francophile parents sent him and his sisters. In 1951 he moved to Paris <a href=""https://www.last.fm/music/Georges+Moustaki"">Read more on Last.fm</a>",99569.0,884824.0,Serge Reggiani,Jean Ferrat,Léo Ferré
6,El Arrebato,flamenco,track,Rumba Canalla,2000,2tnnbPGlhpY1420firAE7v,"Javier Labandón, más conocido por su nombre artístico El Arrebato, es un cantautor español de rumba-pop y flamenco. Comenzó su carrera artística sobre 1985 y su carrera discográfica en 1988 sacando su primer disco con el grupo Piel morena en el que le acompañaban 2 grandes amigos de su Sevilla natal . Con ellos cosechó sus primeros éxitos hasta el 8 de septiembre de 1998, cuando Piel Morena se disolvió definitivamente tras varios cambios en la formación. <a href=""https://www.last.fm/music/El+Arrebato"">Read more on Last.fm</a>",57678.0,487591.0,El Barrio,Andy & Lucas,Estopa
7,Tomaso Albinoni,flamenco,track,Tango Adagio,2000,3dVVMsZCVGxce42Nd9a0XC,"Tomaso Giovanni Albinoni (1671–1751) was a Venetian Baroque composer. While famous in his day as an opera composer, he is mainly remembered today for his instrumental music, some of which is regularly recorded. His “Adagio in G minor”, actually a later reconstruction, is one of the most frequently recorded pieces of Baroque music. Born to Antonio Albinoni (1634–1709), a wealthy paper merchant and nobleman in Venice, he studied violin and singing. <a href=""https://www.last.fm/music/+noredirect/Tomaso+Albinoni"">Read more on Last.fm</a>",144955.0,863669.0,Arcangelo Corelli,Georg Friedrich Händel,Georg Philipp Telemann
8,Johann Pachelbel,flamenco,track,Soleá Canon,2000,4EOgdSxqtZZGvOrzuyQAGz,"Johann Pachelbel (baptised 11 September 1653 – buried 9 March 1706) was a German composer, organist, and teacher who was a leading figure in the south German organ school during the middle Baroque period. He composed a substantial body of sacred and secular music and made significant contributions to the development of the chorale prelude and fugue, securing his place among the important composers of his era. During his lifetime, Pachelbel’s music was widely popular, and he taught many pupils. <a href=""https://www.last.fm/music/Johann+Pachelbel"">Read more on Last.fm</a>",820444.0,5403474.0,Jean Sibelius,Henry Purcell,Ludwig van Beethoven
9,Juana Amaya,flamenco,track,"Flamenco, Soleá por Bulerias, con baile",2000,73KHkT0m5CW2xWgJAxCmoA," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419.0,3538.0,Jose Galvan,Manuel Salado,Adela Campallo
10,Mariló García,flamenco,track,Sevillanas: Lenta (Cante y Guitarra),2000,0sKS1f30oQdGw903RR7fBN," <a href=""https://www.last.fm/music/Maril%C3%B3+Garc%C3%ADa"">Read more on Last.fm</a>",125.0,467.0,El Trini,Victor M. Rosa,Juana Amaya
11,Márquez El Zapatero,flamenco,track,"Flamenco, Soleá por Bulerias, Sólo de Cante",2000,2eLniDU3Fbg6QUTbreLUrF," <a href=""https://www.last.fm/music/m%C3%A1rquez+el+zapatero"">Read more on Last.fm</a>",69.0,452.0,Jose Galvan,Jesus Heredia,Melchora Ortega
12,Rocio Ruiz,flamenco,track,"Flamenco,Cante por Martinete",2000,77242gtA1Jymsu2Vl9LGxR," <a href=""https://www.last.fm/music/Rocio+Ruiz"">Read more on Last.fm</a>",84.0,300.0,Familias Gitanas de Moron de la Frontera,Grupo Maria del Mar Moreno,Familias Gitanas de Utrera
13,Antonio Vivaldi,flamenco,track,Primavera Tango (Four Seasons),2000,6mpQYMq1l1gU0ltQ0nO1IW,"Antonio Lucio Vivaldi (4 March 1678 – 28 July 1741) was an Italian composer, virtuoso violinist, impresario of Baroque music, and Roman Catholic priest. He is regarded as one of the leading Baroque composers, with a significant influence across Europe during his lifetime. Vivaldi contributed to developments in orchestration, violin technique, and programmatic music. He played a key role in consolidating the concerto form, particularly the solo concerto, into a widely recognised musical idiom. <a href=""https://www.last.fm/music/Antonio+Vivaldi"">Read more on Last.fm</a>",1888862.0,40687135.0,Georg Friedrich Händel,Johann Sebastian Bach,Wolfgang Amadeus Mozart
14,La Carmen,flamenco,track,Flamencos a volar,2000,5pG5LCEvPX175P4ukUCFmR," <a href=""https://www.last.fm/music/La+Carmen"">Read more on Last.fm</a>",170.0,624.0,Mesalla,Jorge Martinez,La Shica
